#Data Set Export - Rainfall.Continuous@A64971,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1949-06-27 08:00:00,1.02,200,5,
1949-06-28 08:00:00,1.02,200,5,
1949-06-29 08:00:00,0.51,200,5,
1949-06-30 08:00:00,9.91,200,5,
1949-07-01 08:00:00,0.76,200,5,
1949-07-02 08:00:00,2.29,200,5,
1949-07-03 08:00:00,1.27,200,5,
1949-07-04 08:00:00,8.38,200,5,
1949-07-05 08:00:00,2.54,200,5,
1949-07-06 08:00:00,2.29,200,5,
1949-07-07 08:00:00,1.27,200,5,
1949-07-08 08:00:00,3.81,200,5,
1949-07-09 08:00:00,10.67,200,5,
1949-07-10 08:00:00,3.56,200,5,
1949-07-11 08:00:00,1.78,200,5,
1949-07-12 08:00:00,5.59,200,5,
1949-07-13 08:00:00,0.25,200,5,
1949-07-14 08:00:00,0.76,200,5,
1949-07-15 08:00:00,3.56,200,5,
1949-07-19 08:00:00,0,200,5,
1949-07-20 08:00:00,0.25,200,5,
1949-07-21 08:00:00,0,200,5,
1949-07-22 08:00:00,14.73,200,5,
1949-07-23 08:00:00,13.72,200,5,
1949-07-24 08:00:00,3.3,200,5,
1949-07-25 08:00:00,0.25,200,5,
1949-07-26 08:00:00,6.35,200,5,
1949-07-27 08:00:00,0.25,200,5,
1949-07-28 08:00:00,8.89,200,5,
1949-07-29 08:00:00,0.76,200,5,
1949-07-30 08:00:00,0,200,5,
1949-07-31 08:00:00,2.54,200,5,
1949-08-01 08:00:00,3.56,200,5,
1949-08-02 08:00:00,5.08,200,5,
1949-08-03 08:00:00,8.38,200,5,
1949-08-04 08:00:00,0.51,200,5,
1949-08-05 08:00:00,0.25,200,5,
1949-08-06 08:00:00,0,200,5,
1949-08-07 08:00:00,8.13,200,5,
1949-08-08 08:00:00,12.95,200,5,
1949-08-09 08:00:00,8.13,200,5,
1949-08-14 08:00:00,0,200,5,
1949-08-15 08:00:00,1.27,200,5,
1949-08-17 08:00:00,0,200,5,
1949-08-18 08:00:00,7.37,200,5,
1949-08-19 08:00:00,1.78,200,5,
1949-08-20 08:00:00,0,200,5,
1949-08-21 08:00:00,0.25,200,5,
1949-08-22 08:00:00,7.62,200,5,
1949-08-23 08:00:00,0,200,5,
1949-08-24 08:00:00,0.25,200,5,
1949-08-25 08:00:00,0,200,5,
1949-08-26 08:00:00,1.78,200,5,
1949-08-27 08:00:00,6.1,200,5,
1949-08-29 08:00:00,0,200,5,
1949-08-30 08:00:00,1.02,200,5,
1949-08-31 08:00:00,3.3,200,5,
1949-09-01 08:00:00,0,200,5,
1949-09-02 08:00:00,0.25,200,5,
1949-09-09 08:00:00,0,200,5,
1949-09-15 08:00:00,0,200,5,
1949-09-16 08:00:00,2.54,200,5,
1949-09-17 08:00:00,3.3,200,5,
1949-09-18 08:00:00,0,200,5,
1949-09-19 08:00:00,14.73,200,5,
1949-09-20 08:00:00,2.54,200,5,
1949-09-21 08:00:00,0.51,200,5,
1949-09-23 08:00:00,0,200,5,
1949-09-24 08:00:00,2.29,200,5,
1949-09-25 08:00:00,2.03,200,5,
1949-09-26 08:00:00,0,200,5,
1949-09-27 08:00:00,1.27,200,5,
1949-09-28 08:00:00,2.03,200,5,
1949-09-29 08:00:00,11.94,200,5,
1949-09-30 08:00:00,3.05,200,5,
1949-10-02 08:00:00,0,200,5,
1949-10-03 08:00:00,1.02,200,5,
1949-10-04 08:00:00,1.27,200,5,
1949-10-08 08:00:00,0,200,5,
1949-10-09 08:00:00,4.83,200,5,
1949-10-10 08:00:00,0,200,5,
1949-10-11 08:00:00,0.25,200,5,
1949-10-12 08:00:00,0,200,5,
1949-10-13 08:00:00,7.11,200,5,
1949-10-14 08:00:00,4.57,200,5,
1949-10-15 08:00:00,16.26,200,5,
1949-10-16 08:00:00,2.03,200,5,
1949-10-17 08:00:00,12.19,200,5,
1949-10-24 08:00:00,0,200,5,
1949-10-29 08:00:00,0,200,5,
1949-10-30 08:00:00,5.84,200,5,
1949-10-31 08:00:00,1.02,200,5,
1949-11-01 08:00:00,21.08,200,5,
1949-11-02 08:00:00,4.06,200,5,
1949-11-03 08:00:00,5.08,200,5,
1949-11-04 08:00:00,0.25,200,5,
1949-11-05 08:00:00,0,200,5,
1949-11-06 08:00:00,24.89,200,5,
1949-11-07 08:00:00,4.32,200,5,
1949-11-08 08:00:00,0.51,200,5,
1949-11-09 08:00:00,0,200,5,
1949-11-10 08:00:00,0.25,200,5,
1949-11-11 08:00:00,0,200,5,
1949-11-12 08:00:00,6.6,200,5,
1949-11-13 08:00:00,13.72,200,5,
1949-11-14 08:00:00,0.76,200,5,
1949-11-15 08:00:00,0.51,200,5,
1949-11-16 08:00:00,0.76,200,5,
1949-11-20 08:00:00,0,200,5,
1949-11-21 08:00:00,0.51,200,5,
1949-11-22 08:00:00,0.51,200,5,
1949-11-25 08:00:00,0,200,5,
1949-11-26 08:00:00,6.86,200,5,
1949-12-01 08:00:00,0,200,5,
1949-12-02 08:00:00,0.76,200,5,
1949-12-03 08:00:00,0,200,5,
1949-12-04 08:00:00,5.33,200,5,
1949-12-05 08:00:00,0.25,200,5,
1949-12-06 08:00:00,0,200,5,
1949-12-07 08:00:00,52.83,200,5,
1949-12-08 08:00:00,9.65,200,5,
1949-12-09 08:00:00,1.52,200,5,
1949-12-10 08:00:00,3.81,200,5,
1949-12-11 08:00:00,4.06,200,5,
1949-12-16 08:00:00,0,200,5,
1949-12-17 08:00:00,10.92,200,5,
1949-12-23 08:00:00,0,200,5,
1949-12-24 08:00:00,19.81,200,5,
1949-12-31 08:00:00,0,200,5,
1950-01-04 08:00:00,0,200,5,
1950-01-05 08:00:00,0.51,200,5,
1950-01-12 08:00:00,0,200,5,
1950-01-19 08:00:00,0,200,5,
1950-01-23 08:00:00,0,200,5,
1950-01-24 08:00:00,1.52,200,5,
1950-01-25 08:00:00,0,200,5,
1950-01-26 08:00:00,0.25,200,5,
1950-01-28 08:00:00,0,200,5,
1950-01-29 08:00:00,10.67,200,5,
1950-01-30 08:00:00,3.56,200,5,
1950-02-05 08:00:00,0,200,5,
1950-02-06 08:00:00,0.25,200,5,
1950-02-09 08:00:00,0,200,5,
1950-02-10 08:00:00,1.02,200,5,
1950-02-11 08:00:00,29.97,200,5,
1950-02-12 08:00:00,15.49,200,5,
1950-02-13 08:00:00,9.65,200,5,
1950-02-14 08:00:00,12.45,200,5,
1950-02-21 08:00:00,0,200,5,
1950-02-28 08:00:00,0,200,5,
1950-03-02 08:00:00,0,200,5,
1950-03-03 08:00:00,3.56,200,5,
1950-03-09 08:00:00,0,200,5,
1950-03-10 08:00:00,5.08,200,5,
1950-03-11 08:00:00,0,200,5,
1950-03-12 08:00:00,6.6,200,5,
1950-03-13 08:00:00,6.86,200,5,
1950-03-14 08:00:00,0,200,5,
1950-03-15 08:00:00,4.83,200,5,
1950-03-16 08:00:00,0.51,200,5,
1950-03-23 08:00:00,0,200,5,
1950-03-27 08:00:00,0,200,5,
1950-03-28 08:00:00,4.32,200,5,
1950-04-04 08:00:00,0,200,5,
1950-04-05 08:00:00,1.02,200,5,
1950-04-06 08:00:00,10.67,200,5,
1950-04-07 08:00:00,5.59,200,5,
1950-04-11 08:00:00,0,200,5,
1950-04-12 08:00:00,5.08,200,5,
1950-04-13 08:00:00,2.03,200,5,
1950-04-14 08:00:00,19.05,200,5,
1950-04-15 08:00:00,37.08,200,5,
1950-04-16 08:00:00,2.79,200,5,
1950-04-17 08:00:00,7.37,200,5,
1950-04-18 08:00:00,0.25,200,5,
1950-04-19 08:00:00,1.52,200,5,
1950-04-23 08:00:00,0,200,5,
1950-04-24 08:00:00,14.48,200,5,
1950-05-01 08:00:00,0,200,5,
1950-05-08 08:00:00,0,200,5,
1950-05-09 08:00:00,0,200,5,
1950-05-10 08:00:00,0.51,200,5,
1950-05-11 08:00:00,10.41,200,5,
1950-05-12 08:00:00,11.68,200,5,
1950-05-13 08:00:00,2.03,200,5,
1950-05-14 08:00:00,0,200,5,
1950-05-15 08:00:00,0.51,200,5,
1950-05-16 08:00:00,4.57,200,5,
1950-05-17 08:00:00,0.51,200,5,
1950-05-18 08:00:00,0.25,200,5,
1950-05-19 08:00:00,4.32,200,5,
1950-05-20 08:00:00,5.33,200,5,
1950-05-21 08:00:00,0,200,5,
1950-05-22 08:00:00,0.51,200,5,
1950-05-24 08:00:00,0,200,5,
1950-05-25 08:00:00,12.45,200,5,
1950-05-26 08:00:00,2.29,200,5,
1950-05-29 08:00:00,0,200,5,
1950-05-30 08:00:00,3.05,200,5,
1950-05-31 08:00:00,1.52,200,5,
1950-06-01 08:00:00,0.51,200,5,
