#Data Set Export - Rainfall.Continuous@A64971,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1955-01-06 08:00:00,1.27,200,5,
1955-01-09 08:00:00,0,200,5,
1955-01-10 08:00:00,21.34,200,5,
1955-01-11 08:00:00,1.52,200,5,
1955-01-12 08:00:00,0,200,5,
1955-01-13 08:00:00,1.02,200,5,
1955-01-15 08:00:00,0,200,5,
1955-01-16 08:00:00,4.32,200,5,
1955-01-21 08:00:00,0,200,5,
1955-01-22 08:00:00,5.33,200,5,
1955-01-23 08:00:00,2.79,200,5,
1955-01-26 08:00:00,0,200,5,
1955-01-27 08:00:00,1.27,200,5,
1955-01-28 08:00:00,2.79,200,5,
1955-02-03 08:00:00,0,200,5,
1955-02-04 08:00:00,4.06,200,5,
1955-02-05 08:00:00,1.78,200,5,
1955-02-06 08:00:00,75.18,200,5,
1955-02-07 08:00:00,0.25,200,5,
1955-02-10 08:00:00,0,200,5,
1955-02-11 08:00:00,3.3,200,5,
1955-02-12 08:00:00,0,200,5,
1955-02-13 08:00:00,0.76,200,5,
1955-02-16 08:00:00,0,200,5,
1955-02-17 08:00:00,0.25,200,5,
1955-02-18 08:00:00,8.64,200,5,
1955-02-19 08:00:00,13.21,200,5,
1955-02-20 08:00:00,0,200,5,
1955-02-21 08:00:00,0.76,200,5,
1955-02-25 08:00:00,0,200,5,
1955-02-26 08:00:00,1.02,200,5,
1955-02-27 08:00:00,2.29,200,5,
1955-02-28 08:00:00,0,200,5,
1955-03-01 08:00:00,1.02,200,5,
1955-03-02 08:00:00,3.56,200,5,
1955-03-09 08:00:00,0,200,5,
1955-03-10 08:00:00,0,200,5,
1955-03-11 08:00:00,0.51,200,5,
1955-03-12 08:00:00,5.84,200,5,
1955-03-13 08:00:00,14.99,200,5,
1955-03-14 08:00:00,7.11,200,5,
1955-03-15 08:00:00,67.82,200,5,
1955-03-16 08:00:00,1.27,200,5,
1955-03-17 08:00:00,0,200,5,
1955-03-18 08:00:00,9.91,200,5,
1955-03-19 08:00:00,19.3,200,5,
1955-03-25 08:00:00,0,200,5,
1955-03-26 08:00:00,4.83,200,5,
1955-03-27 08:00:00,2.79,200,5,
1955-04-03 08:00:00,0,200,5,
1955-04-04 08:00:00,0,200,5,
1955-04-05 08:00:00,1.52,200,5,
1955-04-12 08:00:00,0,200,5,
1955-04-15 08:00:00,0,200,5,
1955-04-16 08:00:00,0.76,200,5,
1955-04-17 08:00:00,0,200,5,
1955-04-18 08:00:00,9.4,200,5,
1955-04-19 08:00:00,3.81,200,5,
1955-04-20 08:00:00,2.79,200,5,
1955-04-21 08:00:00,9.4,200,5,
1955-04-22 08:00:00,0.76,200,5,
1955-04-23 08:00:00,0,200,5,
1955-04-24 08:00:00,0.76,200,5,
1955-04-27 08:00:00,0,200,5,
1955-04-28 08:00:00,18.54,200,5,
1955-04-29 08:00:00,11.43,200,5,
1955-04-30 08:00:00,4.06,200,5,
1955-05-05 08:00:00,0,200,5,
1955-05-06 08:00:00,3.56,200,5,
1955-05-08 08:00:00,0,200,5,
1955-05-09 08:00:00,6.35,200,5,
1955-05-14 08:00:00,0,200,5,
1955-05-15 08:00:00,4.57,200,5,
1955-05-16 08:00:00,39.62,200,5,
1955-05-17 08:00:00,3.81,200,5,
1955-05-19 08:00:00,0,200,5,
1955-05-20 08:00:00,6.86,200,5,
1955-05-21 08:00:00,3.56,200,5,
1955-05-22 08:00:00,11.18,200,5,
1955-05-23 08:00:00,20.83,200,5,
1955-05-24 08:00:00,4.32,200,5,
1955-05-25 08:00:00,8.38,200,5,
1955-05-26 08:00:00,0.76,200,5,
1955-05-30 08:00:00,0,200,5,
1955-05-31 08:00:00,5.84,200,5,
1955-06-01 08:00:00,2.03,200,5,
1955-06-02 08:00:00,10.67,200,5,
1955-06-03 08:00:00,6.86,200,5,
1955-06-04 08:00:00,10.41,200,5,
1955-06-05 08:00:00,18.54,200,5,
1955-06-06 08:00:00,3.56,200,5,
1955-06-07 08:00:00,9.4,200,5,
1955-06-08 08:00:00,0,200,5,
1955-06-09 08:00:00,6.35,200,5,
1955-06-10 08:00:00,1.27,200,5,
1955-06-11 08:00:00,7.87,200,5,
1955-06-12 08:00:00,0,200,5,
1955-06-13 08:00:00,0.51,200,5,
1955-06-14 08:00:00,1.02,200,5,
1955-06-15 08:00:00,10.67,200,5,
1955-06-16 08:00:00,3.81,200,5,
1955-06-17 08:00:00,8.38,200,5,
1955-06-18 08:00:00,4.57,200,5,
1955-06-21 08:00:00,0,200,5,
1955-06-22 08:00:00,13.97,200,5,
1955-06-23 08:00:00,3.81,200,5,
1955-06-24 08:00:00,3.56,200,5,
1955-06-25 08:00:00,1.02,200,5,
1955-06-26 08:00:00,0,200,5,
1955-06-27 08:00:00,1.02,200,5,
1955-06-28 08:00:00,26.16,200,5,
1955-06-30 08:00:00,0,200,5,
1955-07-01 08:00:00,15.24,200,5,
1955-07-02 08:00:00,4.32,200,5,
1955-07-03 08:00:00,4.32,200,5,
1955-07-04 08:00:00,7.11,200,5,
1955-07-09 08:00:00,0,200,5,
1955-07-10 08:00:00,23.62,200,5,
1955-07-11 08:00:00,0.51,200,5,
1955-07-12 08:00:00,5.33,200,5,
1955-07-13 08:00:00,4.06,200,5,
1955-07-14 08:00:00,1.78,200,5,
1955-07-17 08:00:00,0,200,5,
1955-07-18 08:00:00,15.24,200,5,
1955-07-19 08:00:00,2.03,200,5,
1955-07-20 08:00:00,2.03,200,5,
1955-07-21 08:00:00,1.27,200,5,
1955-07-22 08:00:00,0,200,5,
1955-07-23 08:00:00,0.76,200,5,
1955-07-29 08:00:00,0,200,5,
1955-07-30 08:00:00,11.94,200,5,
1955-07-31 08:00:00,10.67,200,5,
1955-08-01 08:00:00,14.99,200,5,
1955-08-02 08:00:00,9.4,200,5,
1955-08-03 08:00:00,3.05,200,5,
1955-08-05 08:00:00,0,200,5,
1955-08-06 08:00:00,12.19,200,5,
1955-08-07 08:00:00,10.41,200,5,
1955-08-08 08:00:00,1.02,200,5,
1955-08-09 08:00:00,5.59,200,5,
1955-08-10 08:00:00,4.83,200,5,
1955-08-11 08:00:00,2.54,200,5,
1955-08-12 08:00:00,5.08,200,5,
1955-08-13 08:00:00,3.56,200,5,
1955-08-14 08:00:00,3.05,200,5,
1955-08-15 08:00:00,1.78,200,5,
1955-08-16 08:00:00,0,200,5,
1955-08-17 08:00:00,0.25,200,5,
1955-08-18 08:00:00,1.27,200,5,
1955-08-19 08:00:00,1.27,200,5,
1955-08-20 08:00:00,10.67,200,5,
1955-08-21 08:00:00,3.05,200,5,
1955-08-23 08:00:00,0,200,5,
1955-08-24 08:00:00,0.51,200,5,
1955-08-27 08:00:00,0,200,5,
1955-08-28 08:00:00,7.11,200,5,
1955-08-29 08:00:00,0,200,5,
1955-08-30 08:00:00,2.54,200,5,
1955-08-31 08:00:00,0,200,5,
1955-09-01 08:00:00,0.51,200,5,
1955-09-02 08:00:00,6.6,200,5,
1955-09-06 08:00:00,0,200,5,
1955-09-07 08:00:00,1.78,200,5,
1955-09-08 08:00:00,13.72,200,5,
1955-09-09 08:00:00,2.54,200,5,
1955-09-10 08:00:00,0,200,5,
1955-09-11 08:00:00,11.18,200,5,
1955-09-12 08:00:00,8.13,200,5,
1955-09-18 08:00:00,0,200,5,
1955-09-19 08:00:00,1.27,200,5,
1955-09-21 08:00:00,0,200,5,
1955-09-22 08:00:00,40.64,200,5,
1955-09-25 08:00:00,0,200,5,
1955-09-26 08:00:00,24.38,200,5,
1955-09-27 08:00:00,0.25,200,5,
1955-09-28 08:00:00,0.76,200,5,
1955-10-01 08:00:00,0,200,5,
1955-10-02 08:00:00,10.92,200,5,
1955-10-03 08:00:00,15.24,200,5,
1955-10-04 08:00:00,1.78,200,5,
1955-10-05 08:00:00,23.62,200,5,
1955-10-06 08:00:00,10.92,200,5,
1955-10-07 08:00:00,13.97,200,5,
1955-10-12 08:00:00,0,200,5,
1955-10-13 08:00:00,10.16,200,5,
1955-10-14 08:00:00,28.96,200,5,
1955-10-15 08:00:00,11.18,200,5,
1955-10-16 08:00:00,2.29,200,5,
1955-10-17 08:00:00,2.54,200,5,
1955-10-18 08:00:00,4.06,200,5,
1955-10-19 08:00:00,0.25,200,5,
1955-10-20 08:00:00,4.32,200,5,
1955-10-21 08:00:00,0.51,200,5,
1955-10-22 08:00:00,0,200,5,
1955-10-23 08:00:00,8.38,200,5,
1955-10-26 08:00:00,0,200,5,
1955-10-27 08:00:00,1.52,200,5,
1955-10-31 08:00:00,0,200,5,
1955-11-01 08:00:00,0.25,200,5,
1955-11-02 08:00:00,0,200,5,
1955-11-03 08:00:00,5.08,200,5,
1955-11-04 08:00:00,4.06,200,5,
1955-11-10 08:00:00,0,200,5,
1955-11-11 08:00:00,4.32,200,5,
1955-11-16 08:00:00,0,200,5,
1955-11-17 08:00:00,1.27,200,5,
1955-11-18 08:00:00,4.06,200,5,
1955-11-19 08:00:00,43.18,200,5,
1955-11-20 08:00:00,24.13,200,5,
1955-11-21 08:00:00,4.83,200,5,
1955-11-22 08:00:00,0,200,5,
1955-11-23 08:00:00,0.76,200,5,
1955-11-24 08:00:00,0,200,5,
1955-11-25 08:00:00,4.06,200,5,
1955-11-26 08:00:00,0,200,5,
1955-11-27 08:00:00,1.78,200,5,
1955-11-28 08:00:00,0,200,5,
1955-11-29 08:00:00,10.92,200,5,
1955-11-30 08:00:00,0.51,200,5,
1955-12-01 08:00:00,5.84,200,5,
1955-12-04 08:00:00,0,200,5,
1955-12-05 08:00:00,0.51,200,5,
1955-12-06 08:00:00,0.76,200,5,
1955-12-07 08:00:00,53.09,200,5,
1955-12-14 08:00:00,0,200,5,
1955-12-15 08:00:00,2.54,200,5,
1955-12-16 08:00:00,16,200,5,
1955-12-17 08:00:00,3.56,200,5,
1955-12-18 08:00:00,5.59,200,5,
1955-12-25 08:00:00,0,200,5,
1955-12-27 08:00:00,0,200,5,
1955-12-28 08:00:00,1.78,200,5,
1955-12-29 08:00:00,0,200,5,
1955-12-30 08:00:00,1.02,200,5,
1956-01-02 08:00:00,0,200,5,
1956-01-03 08:00:00,5.84,200,5,
1956-01-04 08:00:00,0,200,5,
1956-01-05 08:00:00,0.25,200,5,
1956-01-06 08:00:00,4.57,200,5,
1956-01-07 08:00:00,0,200,5,
1956-01-08 08:00:00,46.74,200,5,
1956-01-09 08:00:00,10.92,200,5,
1956-01-10 08:00:00,6.86,200,5,
1956-01-11 08:00:00,0.76,200,5,
1956-01-12 08:00:00,0.76,200,5,
1956-01-19 08:00:00,0,200,5,
1956-01-26 08:00:00,0,200,5,
1956-01-29 08:00:00,0,200,5,
1956-01-30 08:00:00,7.87,200,5,
1956-01-31 08:00:00,12.95,200,5,
1956-02-02 08:00:00,0,200,5,
1956-02-03 08:00:00,6.86,200,5,
1956-02-04 08:00:00,41.91,200,5,
1956-02-05 08:00:00,41.15,200,5,
1956-02-06 08:00:00,0,200,5,
1956-02-07 08:00:00,2.54,200,5,
1956-02-08 08:00:00,0.25,200,5,
1956-02-14 08:00:00,0,200,5,
1956-02-15 08:00:00,1.27,200,5,
1956-02-16 08:00:00,1.78,200,5,
1956-02-17 08:00:00,0,200,5,
1956-02-18 08:00:00,33.78,200,5,
1956-02-19 08:00:00,0,200,5,
1956-02-20 08:00:00,0.25,200,5,
1956-02-27 08:00:00,0,200,5,
1956-02-28 08:00:00,0,200,5,
1956-02-29 08:00:00,3.81,200,5,
1956-03-01 08:00:00,1.27,200,5,
1956-03-04 08:00:00,0,200,5,
1956-03-05 08:00:00,1.27,200,5,
1956-03-06 08:00:00,0.25,200,5,
1956-03-10 08:00:00,0,200,5,
1956-03-11 08:00:00,8.38,200,5,
1956-03-12 08:00:00,0,200,5,
1956-03-13 08:00:00,0.76,200,5,
1956-03-18 08:00:00,0,200,5,
1956-03-19 08:00:00,2.29,200,5,
1956-03-20 08:00:00,1.78,200,5,
1956-03-21 08:00:00,1.02,200,5,
1956-03-25 08:00:00,0,200,5,
1956-03-26 08:00:00,13.46,200,5,
1956-03-27 08:00:00,0,200,5,
1956-03-28 08:00:00,1.52,200,5,
1956-03-29 08:00:00,1.27,200,5,
1956-03-31 08:00:00,0,200,5,
1956-04-01 08:00:00,3.81,200,5,
1956-04-02 08:00:00,2.29,200,5,
1956-04-04 08:00:00,0,200,5,
1956-04-05 08:00:00,24.89,200,5,
1956-04-06 08:00:00,17.27,200,5,
1956-04-07 08:00:00,52.32,200,5,
1956-04-08 08:00:00,113.03,200,5,
1956-04-09 08:00:00,10.92,200,5,
1956-04-10 08:00:00,0,200,5,
1956-04-11 08:00:00,1.78,200,5,
1956-04-12 08:00:00,0,200,5,
1956-04-13 08:00:00,5.59,200,5,
1956-04-14 08:00:00,2.79,200,5,
1956-04-15 08:00:00,13.72,200,5,
1956-04-16 08:00:00,6.1,200,5,
1956-04-17 08:00:00,54.36,200,5,
1956-04-18 08:00:00,1.52,200,5,
1956-04-19 08:00:00,0.51,200,5,
1956-04-20 08:00:00,0,200,5,
1956-04-21 08:00:00,24.89,200,5,
1956-04-22 08:00:00,2.79,200,5,
1956-04-23 08:00:00,0,200,5,
1956-04-24 08:00:00,22.86,200,5,
1956-04-25 08:00:00,3.05,200,5,
1956-04-26 08:00:00,6.6,200,5,
1956-04-27 08:00:00,0,200,5,
1956-04-28 08:00:00,0.25,200,5,
1956-04-29 08:00:00,0,200,5,
1956-04-30 08:00:00,0.51,200,5,
1956-05-01 08:00:00,1.52,200,5,
1956-05-05 08:00:00,0,200,5,
1956-05-06 08:00:00,12.7,200,5,
1956-05-07 08:00:00,0.51,200,5,
1956-05-08 08:00:00,2.03,200,5,
1956-05-09 08:00:00,4.57,200,5,
1956-05-10 08:00:00,1.27,200,5,
1956-05-13 08:00:00,0,200,5,
1956-05-14 08:00:00,7.87,200,5,
1956-05-15 08:00:00,18.29,200,5,
1956-05-20 08:00:00,0,200,5,
1956-05-21 08:00:00,25.65,200,5,
1956-05-22 08:00:00,0,200,5,
1956-05-23 08:00:00,1.02,200,5,
1956-05-25 08:00:00,0,200,5,
1956-05-26 08:00:00,1.52,200,5,
1956-05-27 08:00:00,11.68,200,5,
1956-05-28 08:00:00,2.29,200,5,
1956-05-29 08:00:00,35.05,200,5,
1956-05-30 08:00:00,7.11,200,5,
1956-05-31 08:00:00,1.02,200,5,
1956-06-01 08:00:00,0,200,5,
1956-06-02 08:00:00,4.83,200,5,
1956-06-03 08:00:00,66.55,200,5,
1956-06-04 08:00:00,23.37,200,5,
1956-06-05 08:00:00,1.02,200,5,
1956-06-06 08:00:00,0,200,5,
1956-06-07 08:00:00,5.08,200,5,
1956-06-08 08:00:00,4.32,200,5,
1956-06-09 08:00:00,1.78,200,5,
1956-06-10 08:00:00,1.02,200,5,
1956-06-11 08:00:00,0.25,200,5,
1956-06-12 08:00:00,7.37,200,5,
1956-06-13 08:00:00,3.81,200,5,
1956-06-14 08:00:00,30.48,200,5,
1956-06-15 08:00:00,6.35,200,5,
1956-06-16 08:00:00,0.76,200,5,
1956-06-17 08:00:00,0,200,5,
1956-06-18 08:00:00,5.33,200,5,
1956-06-19 08:00:00,12.19,200,5,
1956-06-20 08:00:00,14.99,200,5,
1956-06-21 08:00:00,17.78,200,5,
1956-06-22 08:00:00,22.61,200,5,
1956-06-23 08:00:00,4.83,200,5,
1956-06-24 08:00:00,0,200,5,
1956-06-25 08:00:00,2.54,200,5,
1956-06-26 08:00:00,0.25,200,5,
1956-06-27 08:00:00,0,200,5,
1956-06-28 08:00:00,19.56,200,5,
1956-06-29 08:00:00,12.95,200,5,
1956-06-30 08:00:00,6.6,200,5,
1956-07-01 08:00:00,36.58,200,5,
1956-07-02 08:00:00,7.11,200,5,
1956-07-03 08:00:00,7.37,200,5,
1956-07-04 08:00:00,4.32,200,5,
1956-07-05 08:00:00,0.51,200,5,
1956-07-06 08:00:00,9.91,200,5,
1956-07-07 08:00:00,4.57,200,5,
1956-07-09 08:00:00,0,200,5,
1956-07-10 08:00:00,13.97,200,5,
1956-07-11 08:00:00,6.35,200,5,
1956-07-12 08:00:00,0.51,200,5,
1956-07-13 08:00:00,5.08,200,5,
1956-07-14 08:00:00,33.27,200,5,
1956-07-15 08:00:00,4.57,200,5,
1956-07-16 08:00:00,1.78,200,5,
1956-07-20 08:00:00,0,200,5,
1956-07-21 08:00:00,6.1,200,5,
1956-07-22 08:00:00,29.97,200,5,
1956-07-23 08:00:00,0.51,200,5,
1956-07-24 08:00:00,9.91,200,5,
1956-07-25 08:00:00,36.58,200,5,
1956-07-26 08:00:00,3.81,200,5,
1956-07-27 08:00:00,10.67,200,5,
1956-07-28 08:00:00,0.76,200,5,
1956-08-01 08:00:00,0,200,5,
1956-08-02 08:00:00,4.06,200,5,
1956-08-03 08:00:00,6.1,200,5,
1956-08-04 08:00:00,50.29,200,5,
1956-08-05 08:00:00,10.41,200,5,
1956-08-07 08:00:00,0,200,5,
1956-08-08 08:00:00,5.33,200,5,
1956-08-09 08:00:00,2.03,200,5,
1956-08-10 08:00:00,20.83,200,5,
1956-08-11 08:00:00,0,200,5,
1956-08-12 08:00:00,29.46,200,5,
1956-08-13 08:00:00,4.32,200,5,
1956-08-14 08:00:00,5.84,200,5,
1956-08-15 08:00:00,7.87,200,5,
1956-08-16 08:00:00,0,200,5,
1956-08-17 08:00:00,25.65,200,5,
1956-08-18 08:00:00,9.91,200,5,
1956-08-23 08:00:00,0,200,5,
1956-08-24 08:00:00,9.4,200,5,
1956-08-25 08:00:00,1.52,200,5,
1956-08-26 08:00:00,2.29,200,5,
1956-08-27 08:00:00,8.64,200,5,
1956-08-28 08:00:00,3.3,200,5,
1956-08-29 08:00:00,17.02,200,5,
1956-08-30 08:00:00,2.03,200,5,
1956-09-05 08:00:00,0,200,5,
1956-09-06 08:00:00,16.76,200,5,
1956-09-07 08:00:00,0,200,5,
1956-09-08 08:00:00,1.02,200,5,
1956-09-11 08:00:00,0,200,5,
1956-09-12 08:00:00,6.35,200,5,
1956-09-13 08:00:00,7.11,200,5,
1956-09-14 08:00:00,8.89,200,5,
1956-09-15 08:00:00,6.6,200,5,
1956-09-17 08:00:00,0,200,5,
1956-09-18 08:00:00,1.02,200,5,
1956-09-19 08:00:00,0.51,200,5,
1956-09-24 08:00:00,0,200,5,
1956-09-25 08:00:00,0.25,200,5,
1956-09-26 08:00:00,31.75,200,5,
1956-09-27 08:00:00,0,200,5,
1956-09-28 08:00:00,19.3,200,5,
1956-09-29 08:00:00,16.76,200,5,
1956-09-30 08:00:00,3.05,200,5,
1956-10-01 08:00:00,12.19,200,5,
1956-10-02 08:00:00,14.48,200,5,
1956-10-03 08:00:00,20.57,200,5,
1956-10-04 08:00:00,6.1,200,5,
1956-10-05 08:00:00,1.78,200,5,
1956-10-06 08:00:00,16.26,200,5,
1956-10-07 08:00:00,1.02,200,5,
1956-10-08 08:00:00,0,200,5,
1956-10-09 08:00:00,3.05,200,5,
1956-10-10 08:00:00,28.96,200,5,
1956-10-11 08:00:00,10.92,200,5,
1956-10-12 08:00:00,0,200,5,
1956-10-13 08:00:00,4.57,200,5,
1956-10-14 08:00:00,15.49,200,5,
1956-10-15 08:00:00,0.25,200,5,
1956-10-21 08:00:00,0,200,5,
1956-10-22 08:00:00,2.03,200,5,
1956-10-23 08:00:00,4.06,200,5,
1956-10-24 08:00:00,0,200,5,
1956-10-25 08:00:00,7.11,200,5,
1956-10-28 08:00:00,0,200,5,
1956-10-29 08:00:00,0.25,200,5,
1956-10-30 08:00:00,16.51,200,5,
1956-10-31 08:00:00,0,200,5,
1956-11-01 08:00:00,18.29,200,5,
1956-11-02 08:00:00,16.76,200,5,
1956-11-04 08:00:00,0,200,5,
1956-11-05 08:00:00,5.08,200,5,
1956-11-06 08:00:00,5.08,200,5,
1956-11-07 08:00:00,2.29,200,5,
1956-11-08 08:00:00,2.29,200,5,
1956-11-09 08:00:00,0,200,5,
1956-11-10 08:00:00,4.83,200,5,
1956-11-11 08:00:00,15.75,200,5,
1956-11-12 08:00:00,0,200,5,
1956-11-13 08:00:00,14.73,200,5,
1956-11-20 08:00:00,0,200,5,
1956-11-24 08:00:00,0,200,5,
1956-11-25 08:00:00,2.79,200,5,
1956-11-26 08:00:00,1.52,200,5,
1956-11-27 08:00:00,10.92,200,5,
1956-11-28 08:00:00,6.35,200,5,
1956-11-29 08:00:00,0.51,200,5,
1956-11-30 08:00:00,0,200,5,
1956-12-01 08:00:00,1.52,200,5,
1956-12-02 08:00:00,3.05,200,5,
1956-12-09 08:00:00,0,200,5,
1956-12-10 08:00:00,0,200,5,
1956-12-11 08:00:00,1.27,200,5,
1956-12-12 08:00:00,24.38,200,5,
1956-12-13 08:00:00,4.32,200,5,
1956-12-14 08:00:00,1.52,200,5,
1956-12-15 08:00:00,0,200,5,
1956-12-16 08:00:00,23.37,200,5,
1956-12-17 08:00:00,15.24,200,5,
1956-12-18 08:00:00,17.02,200,5,
1956-12-19 08:00:00,0.25,200,5,
1956-12-23 08:00:00,0,200,5,
1956-12-24 08:00:00,3.81,200,5,
1956-12-26 08:00:00,0,200,5,
1956-12-27 08:00:00,18.54,200,5,
1956-12-28 08:00:00,1.52,200,5,
1956-12-30 08:00:00,0,200,5,
1956-12-31 08:00:00,11.18,200,5,
1957-01-01 08:00:00,0,200,5,
1957-01-02 08:00:00,3.05,200,5,
1957-01-03 08:00:00,0.25,200,5,
1957-01-06 08:00:00,0,200,5,
1957-01-07 08:00:00,0.51,200,5,
1957-01-14 08:00:00,0,200,5,
1957-01-21 08:00:00,0,200,5,
1957-01-28 08:00:00,0,200,5,
1957-02-01 08:00:00,0,200,5,
1957-02-02 08:00:00,0.76,200,5,
1957-02-03 08:00:00,0,200,5,
1957-02-04 08:00:00,1.78,200,5,
1957-02-05 08:00:00,5.08,200,5,
1957-02-06 08:00:00,39.88,200,5,
1957-02-08 08:00:00,0,200,5,
1957-02-09 08:00:00,1.52,200,5,
1957-02-16 08:00:00,0,200,5,
1957-02-23 08:00:00,0,200,5,
1957-02-24 08:00:00,2.29,200,5,
1957-02-25 08:00:00,0,200,5,
1957-02-26 08:00:00,6.6,200,5,
1957-02-27 08:00:00,5.08,200,5,
1957-03-06 08:00:00,0,200,5,
1957-03-08 08:00:00,0,200,5,
1957-03-09 08:00:00,5.59,200,5,
1957-03-10 08:00:00,15.49,200,5,
1957-03-13 08:00:00,0,200,5,
1957-03-14 08:00:00,0.76,200,5,
1957-03-17 08:00:00,0,200,5,
1957-03-18 08:00:00,9.65,200,5,
1957-03-19 08:00:00,0,200,5,
1957-03-20 08:00:00,16.51,200,5,
1957-03-21 08:00:00,9.4,200,5,
1957-03-22 08:00:00,2.79,200,5,
1957-03-23 08:00:00,3.56,200,5,
1957-03-26 08:00:00,0,200,5,
1957-03-27 08:00:00,5.84,200,5,
1957-03-28 08:00:00,0,200,5,
1957-03-29 08:00:00,1.52,200,5,
1957-04-03 08:00:00,0,200,5,
1957-04-04 08:00:00,0.25,200,5,
1957-04-11 08:00:00,0,200,5,
1957-04-14 08:00:00,0,200,5,
1957-04-15 08:00:00,1.52,200,5,
1957-04-16 08:00:00,1.27,200,5,
1957-04-17 08:00:00,6.1,200,5,
1957-04-18 08:00:00,5.08,200,5,
1957-04-19 08:00:00,1.02,200,5,
1957-04-20 08:00:00,0,200,5,
1957-04-21 08:00:00,0.76,200,5,
1957-04-22 08:00:00,2.79,200,5,
1957-04-23 08:00:00,13.21,200,5,
1957-04-24 08:00:00,4.06,200,5,
1957-04-25 08:00:00,0.76,200,5,
1957-04-26 08:00:00,0,200,5,
1957-04-27 08:00:00,6.35,200,5,
1957-05-01 08:00:00,0,200,5,
1957-05-08 08:00:00,0,200,5,
1957-05-15 08:00:00,0,200,5,
1957-05-22 08:00:00,0,200,5,
1957-05-29 08:00:00,0,200,5,
1957-06-05 08:00:00,0,200,5,
1957-06-12 08:00:00,0,200,5,
1957-06-19 08:00:00,0,200,5,
1957-06-26 08:00:00,0,200,5,
1957-07-03 08:00:00,0,200,5,
1957-07-10 08:00:00,0,200,5,
1957-07-17 08:00:00,0,200,5,
1957-07-24 08:00:00,0,200,5,
1957-07-31 08:00:00,0,200,5,
1957-08-07 08:00:00,0,200,5,
1957-08-14 08:00:00,0,200,5,
1957-08-21 08:00:00,0,200,5,
1957-08-28 08:00:00,0,200,5,
1957-09-04 08:00:00,0,200,5,
1957-09-11 08:00:00,0,200,5,
1957-09-18 08:00:00,0,200,5,
1957-09-25 08:00:00,0,200,5,
1957-10-02 08:00:00,0,200,5,
1957-10-09 08:00:00,0,200,5,
1957-10-16 08:00:00,0,200,5,
1957-10-23 08:00:00,0,200,5,
1957-10-30 08:00:00,0,200,5,
1957-11-06 08:00:00,0,200,5,
1957-11-13 08:00:00,0,200,5,
1957-11-20 08:00:00,0,200,5,
1957-11-27 08:00:00,0,200,5,
1957-12-04 08:00:00,0,200,5,
1957-12-11 08:00:00,0,200,5,
1957-12-18 08:00:00,0,200,5,
1957-12-25 08:00:00,0,200,5,
1958-01-01 08:00:00,0,200,5,
1958-01-02 08:00:00,1.27,200,5,
1958-01-04 08:00:00,0,200,5,
1958-01-05 08:00:00,7.37,200,5,
1958-01-06 08:00:00,3.05,200,5,
1958-01-13 08:00:00,0,200,5,
1958-01-17 08:00:00,0,200,5,
1958-01-18 08:00:00,14.22,200,5,
1958-01-25 08:00:00,0,200,5,
1958-01-31 08:00:00,0,200,5,
1958-02-01 08:00:00,1.52,200,5,
1958-02-08 08:00:00,0,200,5,
1958-02-14 08:00:00,0,200,5,
1958-02-15 08:00:00,2.29,200,5,
1958-02-16 08:00:00,0,200,5,
1958-02-17 08:00:00,96.01,200,5,
1958-02-18 08:00:00,7.62,200,5,
1958-02-19 08:00:00,1.52,200,5,
1958-02-21 08:00:00,0,200,5,
1958-02-22 08:00:00,7.87,200,5,
1958-02-23 08:00:00,16.76,200,5,
1958-02-24 08:00:00,77.47,200,5,
1958-02-25 08:00:00,73.41,200,5,
1958-03-04 08:00:00,0,200,5,
1958-03-11 08:00:00,0,200,5,
1958-03-12 08:00:00,2.54,200,5,
1958-03-14 08:00:00,0,200,5,
1958-03-15 08:00:00,13.97,200,5,
1958-03-16 08:00:00,1.02,200,5,
1958-03-17 08:00:00,1.52,200,5,
1958-03-18 08:00:00,0,200,5,
1958-03-19 08:00:00,1.27,200,5,
1958-03-25 08:00:00,0,200,5,
1958-03-26 08:00:00,42.16,200,5,
1958-03-27 08:00:00,2.29,200,5,
