#Data Set Export - Rainfall.Continuous@A6487A,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1991-06-04 09:00:00,0.2,500,5,
1991-06-05 09:00:00,0,500,5,
1991-06-06 09:00:00,0.8,500,5,
1991-06-07 09:00:00,5.6,500,5,
1991-06-08 09:00:00,0,500,5,
1991-06-14 09:00:00,0,500,5,
1991-06-15 09:00:00,9.4,500,5,
1991-06-16 09:00:00,18.6,500,5,
1991-06-17 09:00:00,0,500,5,
1991-06-18 09:00:00,1,500,5,
1991-06-19 09:00:00,3.6,500,5,
1991-06-20 09:00:00,3.8,500,5,
1991-06-21 09:00:00,2.6,500,5,
1991-06-22 09:00:00,0,500,5,
1991-06-23 09:00:00,12.2,500,5,
1991-06-24 09:00:00,4.2,500,5,
1991-06-25 09:00:00,6.6,500,5,
1991-06-26 09:00:00,0.6,500,5,
1991-06-27 09:00:00,6.6,500,5,
1991-06-28 09:00:00,6.2,500,5,
1991-06-29 09:00:00,15.2,500,5,
1991-06-30 09:00:00,0.2,500,5,
1991-07-01 09:00:00,14.6,500,5,
1991-07-02 09:00:00,1.6,500,5,
1991-07-03 09:00:00,0.2,500,5,
1991-07-04 09:00:00,0,500,5,
1991-07-05 09:00:00,0,500,5,
1991-07-06 09:00:00,0,500,5,
1991-07-07 09:00:00,0,500,5,
1991-07-08 09:00:00,0.2,500,5,
1991-07-09 09:00:00,0.2,500,5,
1991-07-10 09:00:00,0.8,500,5,
1991-07-11 09:00:00,0,500,5,
1991-07-16 09:00:00,0,500,5,
1991-07-17 09:00:00,2.2,500,5,
1991-07-18 09:00:00,37.2,500,5,
1991-07-19 09:00:00,10.4,500,5,
1991-07-20 09:00:00,3.4,500,5,
1991-07-21 09:00:00,12.6,500,5,
1991-07-22 09:00:00,9.2,500,5,
1991-07-23 09:00:00,2.8,500,5,
1991-07-24 09:00:00,17.4,500,5,
1991-07-25 09:00:00,3,500,5,
1991-07-26 09:00:00,13,500,5,
1991-07-27 09:00:00,2.2,500,5,
1991-07-28 09:00:00,2.4,500,5,
1991-07-29 09:00:00,0.4,500,5,
1991-07-30 09:00:00,0.2,500,5,
1991-07-31 09:00:00,0,500,5,
1991-08-01 09:00:00,0.8,500,5,
1991-08-02 09:00:00,6.2,500,5,
1991-08-03 09:00:00,0.2,500,5,
1991-08-04 09:00:00,1,500,5,
1991-08-05 09:00:00,5.8,500,5,
1991-08-06 09:00:00,3,500,5,
1991-08-07 09:00:00,14,500,5,
1991-08-08 09:00:00,0,500,5,
1991-08-09 09:00:00,8.4,500,5,
1991-08-10 09:00:00,13.2,500,5,
1991-08-11 09:00:00,2.6,500,5,
1991-08-12 09:00:00,1.4,500,5,
1991-08-13 09:00:00,0.4,500,5,
1991-08-14 09:00:00,0.2,500,5,
1991-08-15 09:00:00,0,500,5,
1991-08-16 09:00:00,0,500,5,
1991-08-17 09:00:00,6.8,500,5,
1991-08-18 09:00:00,5.2,500,5,
1991-08-19 09:00:00,5.4,500,5,
1991-08-20 09:00:00,5.6,500,5,
1991-08-21 09:00:00,2,500,5,
1991-08-22 09:00:00,11.6,500,5,
1991-08-23 09:00:00,5,500,5,
1991-08-24 09:00:00,4.8,500,5,
1991-08-25 09:00:00,0,500,5,
1991-08-26 09:00:00,30.6,500,5,
1991-08-27 09:00:00,1.2,500,5,
1991-08-28 09:00:00,0.4,500,5,
1991-08-29 09:00:00,0,500,5,
1991-08-30 09:00:00,1,500,5,
1991-08-31 09:00:00,1.6,500,5,
1991-09-01 09:00:00,6.8,500,5,
1991-09-02 09:00:00,1.6,500,5,
1991-09-03 09:00:00,1.2,500,5,
1991-09-04 09:00:00,0.6,500,5,
1991-09-05 09:00:00,0,500,5,
1991-09-06 09:00:00,0.8,500,5,
1991-09-07 09:00:00,1.6,500,5,
1991-09-08 09:00:00,0,500,5,
1991-09-13 09:00:00,0,500,5,
1991-09-14 09:00:00,7.8,500,5,
1991-09-15 09:00:00,10.6,500,5,
1991-09-16 09:00:00,8.8,500,5,
1991-09-17 09:00:00,3.2,500,5,
1991-09-18 09:00:00,4.4,500,5,
1991-09-19 09:00:00,6,500,5,
1991-09-20 09:00:00,2.4,500,5,
1991-09-21 09:00:00,6,500,5,
1991-09-22 09:00:00,1.4,500,5,
1991-09-23 09:00:00,1,500,5,
1991-09-24 09:00:00,0,500,5,
1991-09-25 09:00:00,2,500,5,
1991-09-26 09:00:00,2.4,500,5,
1991-09-27 09:00:00,0.8,500,5,
1991-09-28 09:00:00,4,500,5,
1991-09-29 09:00:00,7,500,5,
1991-09-30 09:00:00,6.2,500,5,
1991-10-01 09:00:00,10.4,500,5,
1991-10-02 09:00:00,1.6,500,5,
1991-10-03 09:00:00,3.8,500,5,
1991-10-04 09:00:00,2.2,500,5,
1991-10-05 09:00:00,4.4,500,5,
1991-10-06 08:00:00,0.6,500,5,
1991-10-07 08:00:00,1.6,500,5,
1991-10-08 08:00:00,1.8,500,5,
1991-10-09 08:00:00,0.6,500,5,
1991-10-10 08:00:00,16.6,500,5,
1991-10-11 08:00:00,0.2,500,5,
1991-10-12 08:00:00,0.4,500,5,
1991-10-13 08:00:00,0,500,5,
1991-10-14 08:00:00,2.2,500,5,
1991-10-15 08:00:00,0.8,500,5,
1991-10-16 08:00:00,0,500,5,
1991-10-17 08:00:00,0,500,5,
1991-10-18 08:00:00,0,500,5,
1991-10-19 08:00:00,0.2,500,5,
1991-10-20 08:00:00,0,500,5,
1991-10-24 08:00:00,0,500,5,
1991-10-25 08:00:00,0.2,500,5,
1991-10-26 08:00:00,0.2,500,5,
1991-10-27 08:00:00,0,500,5,
1991-10-28 08:00:00,6.4,500,5,
1991-10-29 08:00:00,14,500,5,
1991-10-30 08:00:00,0.6,500,5,
1991-10-31 08:00:00,1.6,500,5,
1991-11-01 08:00:00,0.2,500,5,
1991-11-02 08:00:00,1,500,5,
1991-11-03 08:00:00,5.4,500,5,
1991-11-04 08:00:00,1.6,500,5,
1991-11-05 08:00:00,0.4,500,5,
1991-11-06 08:00:00,0,500,5,
1991-11-07 08:00:00,25.6,500,5,
1991-11-08 08:00:00,1,500,5,
1991-11-09 08:00:00,7.6,500,5,
1991-11-10 08:00:00,3,500,5,
1991-11-11 08:00:00,3.8,500,5,
1991-11-12 08:00:00,5.8,500,5,
1991-11-13 08:00:00,0.8,500,5,
1991-11-14 08:00:00,6.6,500,5,
1991-11-15 08:00:00,0,500,5,
1991-11-19 08:00:00,0,500,5,
1991-11-20 08:00:00,0.6,500,5,
1991-11-21 08:00:00,0,500,5,
1991-11-22 08:00:00,2.2,500,5,
1991-11-23 08:00:00,0,500,5,
1991-11-24 08:00:00,0.6,500,5,
1991-11-25 08:00:00,0,500,5,
1991-11-26 08:00:00,0.4,500,5,
1991-11-27 08:00:00,0,500,5,
1991-11-28 08:00:00,0.2,500,5,
1991-11-29 08:00:00,9.8,500,5,
1991-11-30 08:00:00,0,500,5,
1991-12-01 08:00:00,0,500,5,
1991-12-04 08:00:00,0.6,500,5,
1991-12-11 08:00:00,0,500,5,
1991-12-18 08:00:00,0,500,5,
1991-12-19 08:00:00,0,500,5,
1991-12-23 08:00:00,0,500,5,
1991-12-24 08:00:00,0.2,500,5,
1991-12-25 08:00:00,0,500,5,
1991-12-26 08:00:00,0.2,500,5,
1991-12-28 08:00:00,3,500,5,
1991-12-29 09:00:00,0,500,5,
1991-12-30 08:00:00,0,500,5,
1991-12-31 08:00:00,2,500,5,
1992-01-01 08:00:00,23.79,500,5,
1992-01-02 08:00:00,8,500,5,
1992-01-03 08:00:00,0,500,5,
1992-01-07 08:00:00,0,500,5,
1992-01-08 08:00:00,1.6,500,5,
1992-01-09 08:00:00,0,500,5,
1992-01-10 08:00:00,0,500,5,
1992-01-11 08:00:00,0,500,5,
1992-01-12 08:00:00,1.4,500,5,
1992-01-13 08:00:00,1.21,500,5,
1992-01-14 08:00:00,10.39,500,5,
1992-01-15 08:00:00,0.4,500,5,
1992-01-16 08:00:00,0,500,5,
1992-01-17 08:00:00,0.4,500,5,
1992-01-18 08:00:00,45.41,500,5,
1992-01-19 08:00:00,0,500,5,
1992-01-20 08:00:00,0,500,5,
1992-01-21 08:00:00,0,500,5,
1992-01-22 08:00:00,0,500,5,
1992-01-23 08:00:00,0.6,500,5,
1992-01-24 08:00:00,0,500,5,
1992-01-25 08:00:00,0,500,5,
1992-01-26 08:00:00,0,500,5,
1992-01-27 08:00:00,0.5,500,5,
1992-01-28 08:00:00,0.6,500,5,
1992-01-29 08:00:00,0.2,500,5,
1992-01-30 08:00:00,10.8,500,5,
1992-01-31 08:00:00,2,500,5,
1992-02-01 08:00:00,0,500,5,
1992-02-02 08:00:00,1,500,5,
1992-02-03 08:00:00,0.2,500,5,
1992-02-04 08:00:00,0,500,5,
1992-02-05 08:00:00,0,500,5,
1992-02-06 08:00:00,1.2,500,5,
1992-02-07 08:00:00,0,500,5,
1992-02-08 08:00:00,0,500,5,
1992-02-09 08:00:00,12.79,500,5,
1992-02-10 08:00:00,0,500,5,
1992-02-14 08:00:00,0,500,5,
1992-02-15 08:00:00,1.6,500,5,
1992-02-16 08:00:00,9.4,500,5,
1992-02-17 08:00:00,1.4,500,5,
1992-02-18 08:00:00,6.2,500,5,
1992-02-19 08:00:00,0,500,5,
1992-02-20 08:00:00,0,500,5,
1992-02-21 08:00:00,0,500,5,
1992-02-22 08:00:00,0.2,500,5,
1992-02-23 08:00:00,0,500,5,
1992-02-27 08:00:00,0,500,5,
1992-02-28 08:00:00,0.2,500,5,
1992-02-29 08:00:00,1.4,500,5,
1992-03-01 08:00:00,0,500,5,
1992-03-02 08:00:00,0,500,5,
1992-03-03 08:00:00,0,500,5,
1992-03-04 08:00:00,0.4,500,5,
1992-03-05 08:00:00,0,500,5,
1992-03-06 08:00:00,0,500,5,
1992-03-07 08:00:00,12.4,500,5,
